team_1_id,team_1_home_goals,team_1_away_goals,team_1_home_received_goals,team_1_away_received_goals,team_1_home_w,team_1_home_t,team_1_home_l,team_1_away_w,team_1_away_t,team_1_away_l,team_2_id,team_2_home_goals,team_2_away_goals,team_2_home_received_goals,team_2_away_received_goals,team_2_home_w,team_2_home_t,team_2_home_l,team_2_away_w,team_2_away_t,team_2_away_l,match_season,matchday,winner,match_home_goals,match_away_goals
57,20,22,21,9,7,2,1,4,3,3,397,15,7,16,11,5,3,2,2,1,7,151,19,TIE,1,1
18,12,7,2,7,3,1,1,3,0,1,4,12,8,8,3,3,1,0,1,3,1,474,8,HOME,1,0
445,11,8,16,10,4,1,3,0,3,4,1107,8,6,13,11,2,2,3,2,1,5,290,14,TIE,2,2
73,23,15,20,12,7,2,3,2,5,5,346,11,10,22,14,3,5,4,2,3,7,468,23,TIE,0,0
299,24,19,35,30,5,6,8,2,6,11,90,25,19,26,26,8,5,6,6,3,10,281,37,HOME,2,1
745,10,4,14,14,3,1,6,0,3,5,263,11,8,23,5,4,3,2,1,1,7,519,17,TIE,1,1
298,4,3,2,7,1,1,2,1,1,0,81,13,4,3,4,2,1,0,2,0,1,281,5,TIE,2,2
79,22,16,21,26,6,5,5,4,6,6,263,20,12,36,12,7,5,4,2,3,11,519,31,AWAY,0,1
24,12,9,21,17,4,0,6,2,3,4,16,14,12,17,16,1,4,4,2,2,6,155,18,AWAY,1,2
471,10,5,4,8,3,0,1,1,1,1,1107,3,2,6,2,2,0,1,1,0,3,290,6,AWAY,0,2
66,1,0,0,3,0,0,1,0,0,0,328,0,2,4,0,0,0,0,0,0,1,619,1,,,
450,17,11,12,12,6,3,3,3,4,4,98,11,14,18,13,3,5,3,6,0,6,530,22,TIE,1,1
471,9,3,4,4,3,0,0,0,1,1,109,4,7,3,1,2,0,0,3,0,0,290,4,HOME,2,1
112,18,22,34,25,5,7,7,5,4,9,103,25,20,34,20,8,4,6,2,7,10,290,36,HOME,4,1
715,13,5,18,20,4,1,5,0,1,7,346,14,11,10,15,5,0,4,3,3,3,151,17,HOME,3,2
67,3,3,5,9,0,0,5,0,2,2,66,6,9,9,7,2,1,1,2,1,2,151,8,HOME,3,2
76,4,1,2,3,1,2,0,1,0,1,563,1,4,8,3,0,0,2,1,0,2,151,4,AWAY,0,1
107,15,17,29,22,4,1,8,2,6,6,98,13,19,20,15,4,5,4,7,1,6,530,26,AWAY,1,2
98,13,15,19,15,4,5,4,6,1,6,99,13,19,19,17,3,5,5,4,4,5,530,25,TIE,1,1
340,2,2,3,3,0,1,1,1,0,1,397,1,3,4,3,0,1,1,1,0,1,468,3,AWAY,0,2
104,22,16,16,18,5,2,4,3,6,2,108,19,25,10,8,6,4,1,9,2,0,530,21,TIE,1,1
17,4,5,8,5,1,2,1,1,0,2,16,7,7,8,5,1,1,1,1,1,2,155,6,HOME,4,1
66,25,27,19,16,7,4,1,8,2,4,338,13,18,21,13,4,2,6,5,3,6,151,25,AWAY,0,1
99,3,1,2,4,0,1,1,0,0,1,107,3,3,3,3,1,0,1,0,1,0,530,2,HOME,2,1
109,7,3,3,1,2,1,0,0,2,0,472,1,4,12,3,0,1,1,0,0,3,638,4,TIE,1,1
67,3,3,12,3,1,3,1,1,0,4,61,7,16,11,5,2,2,1,4,0,1,468,9,HOME,1,0
79,1,2,1,3,0,0,1,1,0,1,82,1,0,0,0,1,0,0,0,1,0,635,2,HOME,1,0
81,52,29,22,16,16,2,1,8,5,5,250,16,14,28,15,4,10,4,4,5,10,519,36,AWAY,0,1
98,11,12,14,13,3,5,3,6,0,5,449,11,9,19,22,1,2,8,3,1,7,530,21,AWAY,0,1
90,22,17,21,24,7,4,6,5,3,8,559,32,22,25,17,10,3,3,5,4,8,281,32,HOME,3,2
354,3,5,8,3,1,1,1,2,0,2,63,3,4,6,8,1,0,3,0,1,2,619,6,AWAY,1,2
64,46,26,13,12,17,0,0,12,2,2,65,45,36,22,12,12,2,2,9,1,7,468,32,HOME,4,0
6,5,5,1,4,2,0,1,1,1,0,29,2,4,6,8,0,0,2,0,1,2,474,4,AWAY,1,5
61,12,8,1,6,3,2,0,3,1,0,340,3,3,7,7,0,2,2,1,1,3,151,8,AWAY,0,3
721,3,7,1,2,1,1,0,2,0,0,18,1,4,1,3,0,1,1,2,0,0,474,3,AWAY,1,3
715,11,2,12,15,3,1,4,0,1,5,62,13,7,10,6,5,1,1,1,3,3,151,13,HOME,1,0
9,9,8,9,12,2,0,3,1,2,3,28,8,5,8,9,3,0,3,1,1,3,474,10,HOME,1,0
98,7,9,9,10,2,2,3,4,0,4,112,12,9,9,9,4,0,4,2,3,2,530,14,AWAY,0,1
16,13,7,15,11,3,2,2,1,3,3,1,6,6,19,11,1,1,4,1,1,6,474,13,TIE,1,1
92,15,18,18,15,4,5,5,5,4,5,559,27,20,22,14,8,3,2,4,4,7,281,27,HOME,5,2
115,11,8,15,16,4,3,6,1,4,6,586,14,14,11,11,6,1,4,2,10,1,290,23,HOME,1,0
2,19,28,23,13,4,5,3,4,5,3,721,25,18,12,8,7,4,1,6,2,4,155,23,TIE,1,1
584,22,28,27,11,8,2,4,5,4,6,471,27,13,18,31,4,7,4,3,4,7,290,28,AWAY,3,5
17,15,9,17,15,3,4,3,2,2,5,19,22,17,14,12,5,1,3,4,3,3,155,18,HOME,3,1
95,16,11,13,8,4,9,1,3,6,3,745,17,10,21,10,6,6,1,2,3,8,281,25,TIE,1,1
58,10,9,13,7,3,2,2,1,0,5,76,9,9,7,9,2,3,1,2,4,1,468,12,HOME,2,1
99,24,18,18,15,5,6,2,3,7,4,102,24,32,23,15,6,3,4,7,2,5,290,26,HOME,3,1
354,5,9,15,8,2,2,4,2,1,6,563,14,11,11,14,4,1,4,3,2,3,151,16,HOME,3,2
88,5,3,1,10,0,1,2,1,0,1,80,3,2,4,0,2,0,0,0,1,2,281,4,HOME,1,0
108,38,30,17,17,10,5,2,10,3,2,450,24,16,20,19,8,4,4,3,7,6,530,31,TIE,2,2
73,6,12,3,6,1,2,1,3,0,0,328,0,3,7,5,0,0,3,0,1,2,619,6,AWAY,0,1
64,17,11,4,6,6,0,0,5,1,0,58,8,9,13,7,2,2,2,1,0,5,468,11,AWAY,1,2
68,19,6,26,29,4,3,8,1,3,11,356,17,13,15,13,7,3,5,4,8,3,468,29,HOME,1,0
563,4,1,2,2,1,0,1,0,0,1,57,2,4,3,1,1,0,0,1,0,1,619,2,HOME,2,1
86,7,5,5,1,3,1,0,1,1,1,559,3,13,5,2,1,1,1,3,0,1,281,6,HOME,3,0
17,16,18,21,14,6,2,4,4,4,5,4,41,27,23,10,9,3,0,6,3,4,474,24,HOME,1,0
87,11,4,9,19,1,3,4,1,1,4,95,7,4,6,5,1,5,1,2,3,2,281,13,HOME,3,0
11,28,26,24,22,7,5,4,8,2,6,2,28,40,28,19,7,5,4,6,7,3,155,31,AWAY,1,4
9,0,3,7,3,0,0,1,0,1,2,6,3,5,1,3,1,0,1,1,1,0,474,3,HOME,3,0
61,19,19,8,8,6,3,1,7,1,2,346,16,11,10,18,5,1,5,3,3,3,151,19,AWAY,1,2
67,7,6,16,6,2,4,1,2,0,5,58,10,11,15,7,3,2,2,1,1,5,468,13,HOME,2,0
356,1,1,3,4,0,1,2,0,0,2,57,4,4,4,2,2,0,0,1,0,2,619,4,HOME,2,1
103,28,20,34,22,9,4,6,2,7,10,110,36,20,21,25,9,5,5,8,3,8,290,37,TIE,3,3
61,9,18,12,5,3,2,1,5,0,1,346,4,4,13,10,0,3,3,1,2,3,468,11,AWAY,1,2
721,13,12,4,6,2,2,1,3,1,1,17,9,10,6,6,2,2,1,3,1,1,474,9,HOME,2,1
94,9,10,11,12,1,4,4,2,3,3,299,6,9,23,11,0,4,4,1,1,7,281,16,TIE,2,2
2,5,3,3,8,2,0,2,1,2,1,5,13,9,5,5,2,1,1,2,2,0,474,7,AWAY,1,2
715,19,11,30,33,6,2,9,3,2,12,65,55,33,10,12,16,0,1,12,2,3,151,33,HOME,2,0
65,41,35,19,12,11,2,2,9,1,5,66,29,16,19,12,8,5,2,4,5,6,468,29,HOME,2,0
445,28,14,34,29,7,3,7,0,5,11,102,29,37,25,17,7,5,4,9,3,5,290,32,TIE,0,0
66,24,12,17,12,6,4,2,3,3,6,64,31,25,6,9,12,0,0,11,1,0,468,23,HOME,2,0
90,10,4,14,7,3,2,1,0,1,4,83,5,13,12,1,4,0,1,2,2,2,519,10,HOME,1,0
721,23,25,11,9,5,2,1,6,2,1,4,26,15,15,9,5,3,0,3,3,3,474,16,TIE,3,3
108,7,9,4,7,1,1,1,2,2,0,102,7,11,8,6,1,1,1,3,0,1,638,7,TIE,1,1
24,17,16,34,26,4,5,6,2,5,8,5,48,42,17,13,11,2,2,11,2,2,474,29,HOME,5,0
328,0,2,4,1,0,0,1,0,0,1,338,4,8,2,2,1,0,0,2,0,0,619,2,HOME,4,2
109,39,24,15,11,14,1,0,10,2,3,107,16,21,33,25,4,1,9,2,8,6,530,29,AWAY,1,3
563,4,4,2,5,2,0,1,1,2,0,58,3,3,7,2,1,1,1,0,0,3,468,5,TIE,0,0
109,39,31,15,13,15,4,0,13,2,3,100,41,23,22,25,11,5,2,6,7,6,290,36,HOME,2,0
110,41,23,16,11,12,3,0,8,2,3,102,40,40,17,22,8,2,4,9,4,1,530,27,HOME,3,2
106,2,1,6,3,0,1,1,0,0,1,99,7,1,1,1,2,0,0,0,1,0,290,2,HOME,6,1
15,16,12,32,16,5,4,4,3,2,9,5,35,34,16,12,9,3,1,10,1,3,155,26,HOME,6,0
66,14,20,19,11,4,3,1,4,2,4,64,18,21,5,2,7,1,0,8,2,0,151,17,HOME,3,1
102,29,21,12,16,5,1,4,5,4,1,108,18,23,10,7,6,3,1,8,2,0,530,19,TIE,1,1
488,3,2,3,6,0,1,1,1,0,1,98,5,4,1,0,2,0,0,2,0,0,638,3,HOME,3,0
92,3,9,8,5,0,3,2,3,1,2,78,8,5,5,1,4,1,0,1,4,1,281,10,HOME,2,0
110,44,27,21,17,13,3,2,9,3,5,109,43,30,24,14,15,2,0,10,3,5,530,34,HOME,2,1
1107,11,9,24,21,2,2,9,3,1,10,112,17,20,21,12,6,1,6,5,5,4,530,26,AWAY,0,1
95,14,10,12,8,3,8,1,3,5,3,81,38,22,8,15,8,3,1,7,3,1,281,22,TIE,2,2
354,14,16,28,19,6,4,8,5,5,8,58,21,18,36,30,6,3,9,2,4,12,468,35,HOME,2,0
99,11,14,15,14,3,4,4,3,3,4,113,13,17,15,14,4,2,5,3,4,3,530,20,AWAY,0,2
278,15,4,11,12,4,2,2,1,2,4,87,11,4,11,19,1,3,4,1,1,5,281,14,HOME,1,0
104,10,7,16,7,3,5,1,1,3,5,110,17,10,9,11,5,2,2,4,2,3,290,17,HOME,3,1
107,21,21,36,28,6,1,10,2,8,7,586,20,21,36,26,7,3,7,4,1,12,530,33,HOME,3,0
104,18,10,27,15,6,6,3,2,3,10,106,12,9,32,29,1,5,9,0,6,9,290,29,AWAY,0,3
558,25,20,31,22,6,4,6,2,4,9,299,18,17,32,23,3,5,7,2,4,10,281,30,TIE,3,3
90,7,3,5,7,2,0,2,2,0,2,78,8,5,1,1,2,1,0,2,1,0,635,7,HOME,2,0
1,27,21,33,26,6,3,7,4,2,9,16,26,16,33,24,5,5,5,4,3,9,474,30,TIE,1,1
86,18,10,4,6,5,2,0,3,3,1,278,8,6,9,14,3,0,4,1,3,3,519,13,AWAY,0,4
86,19,24,23,8,8,1,4,7,2,4,88,18,19,23,23,4,3,5,4,3,7,281,25,AWAY,1,2
81,10,2,3,4,2,0,0,0,1,1,79,2,2,1,2,0,2,0,1,1,0,519,3,TIE,2,2
115,18,18,28,23,6,6,7,5,3,10,104,32,20,25,28,7,4,8,4,8,6,530,36,AWAY,0,1
354,8,18,22,11,3,3,6,4,2,7,340,14,13,23,19,2,6,4,3,3,7,151,24,TIE,1,1
16,10,10,13,10,1,3,2,2,1,5,10,3,6,18,11,2,1,3,1,1,6,155,13,HOME,1,0
100,7,1,1,5,1,1,0,0,1,0,110,1,4,2,1,0,1,0,1,0,1,530,2,TIE,1,1
81,46,35,15,16,12,3,1,10,4,1,94,24,15,21,24,3,7,6,3,5,7,281,30,TIE,4,4
58,18,16,26,24,5,2,6,2,2,9,1044,15,11,21,19,4,4,5,3,1,9,468,25,HOME,2,1
250,8,7,17,4,2,5,1,2,3,5,82,17,9,10,7,5,3,1,3,3,3,519,17,HOME,2,0
445,14,11,24,18,4,1,6,0,4,6,104,12,7,21,9,3,6,1,1,3,7,290,20,TIE,2,2
57,4,4,3,2,2,0,0,1,0,1,64,7,4,7,4,2,0,0,1,0,1,619,3,HOME,3,1
340,13,16,14,28,3,2,7,5,2,4,338,20,28,12,11,7,2,2,7,1,4,468,22,AWAY,1,2
18,25,14,15,3,9,0,0,3,3,4,3,13,16,15,15,4,1,4,4,2,4,155,18,AWAY,0,1
106,12,8,27,26,1,5,8,0,5,8,586,19,16,12,11,8,1,4,3,10,1,290,26,HOME,3,0
82,1,0,1,1,0,1,0,0,0,1,78,1,1,0,0,1,0,0,1,0,0,519,1,HOME,1,0
278,28,14,26,18,8,5,3,1,8,7,86,26,30,27,11,11,1,4,8,3,5,281,31,HOME,2,1
103,4,0,3,5,2,0,2,0,1,2,109,9,7,3,2,4,0,0,3,0,0,290,6,HOME,2,0
263,8,9,8,4,4,2,0,3,0,3,278,8,4,10,8,3,1,2,1,2,3,281,11,HOME,2,1
81,48,35,15,17,13,3,1,10,5,1,299,18,17,32,23,3,6,7,2,5,10,281,32,TIE,0,0
92,1,5,5,2,0,0,1,1,1,1,278,3,1,3,3,1,0,1,0,1,1,281,3,HOME,2,1
354,6,8,11,7,3,2,3,3,1,3,328,12,9,11,13,4,0,4,1,3,3,468,14,AWAY,0,2
250,3,2,5,6,0,2,2,0,1,2,299,2,3,6,4,0,2,1,0,3,1,635,6,TIE,2,2
5,13,7,3,5,2,1,1,2,1,0,29,5,4,6,13,0,0,4,0,1,2,474,6,AWAY,2,3
