team_1_id,team_1_home_goals,team_1_away_goals,team_1_home_received_goals,team_1_away_received_goals,team_1_home_w,team_1_home_t,team_1_home_l,team_1_away_w,team_1_away_t,team_1_away_l,team_2_id,team_2_home_goals,team_2_away_goals,team_2_home_received_goals,team_2_away_received_goals,team_2_home_w,team_2_home_t,team_2_home_l,team_2_away_w,team_2_away_t,team_2_away_l,match_season,matchday,winner,match_home_goals,match_away_goals
278,6,3,5,4,2,0,1,0,2,2,559,4,6,3,4,1,1,1,3,0,1,519,6,HOME,3,2
88,15,15,14,21,3,2,4,3,3,4,298,11,10,9,14,2,5,3,3,4,2,281,18,TIE,2,2
64,32,24,8,7,10,2,0,9,3,1,338,13,17,18,13,4,2,6,5,3,5,151,24,TIE,1,1
328,23,21,34,28,7,2,8,4,5,9,715,19,11,30,35,6,2,10,3,2,12,151,34,HOME,2,0
471,31,15,20,31,5,7,4,3,5,7,106,12,9,35,29,1,5,9,0,6,10,290,30,HOME,4,0
83,6,3,9,2,3,1,0,1,1,2,88,2,6,9,4,0,2,1,1,1,3,635,8,TIE,1,1
354,14,16,30,19,6,4,8,5,5,9,66,40,24,19,17,10,7,2,7,5,6,468,36,AWAY,0,2
15,24,13,35,17,7,4,4,3,2,11,24,25,19,33,27,8,0,8,4,4,7,155,30,HOME,3,1
6,13,12,16,16,4,0,6,2,4,5,18,25,16,15,6,9,0,1,4,3,4,155,20,AWAY,0,2
73,27,33,21,13,10,1,4,11,0,6,354,13,25,26,17,4,4,8,6,2,8,151,31,HOME,2,0
488,4,7,5,10,0,1,2,2,1,1,109,7,8,5,1,2,1,0,1,3,0,638,6,AWAY,1,4
715,9,2,11,14,2,1,4,0,1,4,338,8,9,10,6,2,2,2,3,0,3,151,11,AWAY,0,1
15,8,6,12,7,3,3,2,2,1,4,8,7,9,20,13,2,1,4,0,3,5,155,14,TIE,1,1
558,17,16,22,14,3,4,4,2,2,6,95,14,8,10,8,3,7,1,3,4,3,281,20,AWAY,1,2
16,31,16,30,29,5,4,7,3,3,9,10,19,9,40,27,5,4,7,1,2,12,155,30,HOME,6,0
15,15,26,35,28,4,2,10,6,2,8,16,27,16,33,27,5,5,6,4,3,9,474,31,AWAY,0,1
12,8,17,24,22,1,2,6,3,3,5,2,17,14,9,22,5,1,5,5,2,2,474,19,AWAY,0,3
18,25,16,15,3,9,0,0,4,3,4,16,17,12,17,16,2,4,4,2,2,6,155,19,HOME,2,0
109,6,3,1,4,2,0,0,2,1,0,450,1,2,2,2,0,2,1,1,0,1,530,4,HOME,2,1
328,6,6,8,3,3,0,1,0,3,2,62,7,1,6,7,3,0,2,0,1,3,468,8,HOME,1,0
82,9,12,10,6,4,1,4,3,6,1,81,33,20,8,12,7,2,1,6,2,1,281,18,AWAY,1,2
58,8,9,13,7,2,2,2,1,0,5,64,17,11,4,6,6,0,0,5,1,0,468,11,AWAY,1,2
338,18,21,6,4,7,1,0,5,1,2,346,4,5,17,13,0,4,4,1,2,5,468,15,HOME,2,0
278,8,7,13,15,3,0,5,1,4,4,82,17,9,9,7,5,3,1,3,3,2,519,16,AWAY,0,1
